ID empleado;Apellido;Nombre;Seccional;Facultad;Cargo;Salario;Fch comienzo;Fch nacimiento
2578;Granda;Luisa;Medellín;Diseño;Docente;4900000;10/4/1981;3/9/1951
2596;Restrepo;Karen;Palmira;Diseño;Aux. Administrativo;1500000;2/26/1985;7/7/1963
2641;Jaramillo;Santiago;Medellín;Administración;Docente;1350000;11/5/1986;4/2/1965
2648;Perez;Alicia;Bucaramanga;Ingeniería;Aux. Administrativo;1350000;4/8/1990;10/18/1965
2677;Gracía;Simón;Medellín;Medicina;Aux. Administrativo;1390000;11/18/1981;9/22/1965
2692;Posada;Sergio;Monteria;Comunicación;Docente;5600000;2/2/1978;6/2/1954
2707;Merizalde;Antonio;Palmira;Diseño;Docente;3200000;1/4/1985;12/11/1962
2714;Giraldo;Esteban;Monteria;Ingeniería;Aux. Administrativo;1350000;8/6/1990;5/10/1965
2746;Uribe;Carmen;Medellín;Administración;Aux. Administrativo;1350000;12/26/1984;4/14/1956
2751;Peláez;Andrés;Medellín;Ingeniería;Docente;3200000;11/26/1981;9/11/1965
2804;Carmona;Jose;Palmira;Administración;Docente;3200000;12/6/1987;10/10/1963
2809;Vasquez;Leonardo;Bucaramanga;Ingeniería;Docente;2600000;6/18/1990;7/11/1963
2829;Berrio;Camilo;Palmira;Diseño;Docente;3200000;10/20/1984;1/5/1960
2852;Garces;Elena;Medellín;Administración;Administrativo;2400000;6/12/1989;6/8/1949
2864;Fernandez;Guillermo;Palmira;Administración;Docente;4500000;3/6/1985;6/26/1963
2895;Jimenez;Karina;Medellín;Ingeniería;Técnico;1700000;9/14/1984;8/25/1954
2899;Peláez;Alberto;Medellín;Administración;Docente;1350000;1/21/1990;10/23/1965
2904;Vallejo;Sara;Medellín;Diseño;Docente;2300000;8/9/1990;6/7/1960
2904;Caro;Diana;Medellín;Ingeniería;Administrativo;5600000;2/25/1980;8/28/1959
2906;Guerra;Lisa;Medellín;Diseño;Docente;2300000;11/27/1986;3/7/1961
2915;Arroyave;Federico;Medellín;Diseño;Técnico;1300000;6/13/1980;9/15/1967
2925;Lema;Maria;Medellín;Ingeniería;Aux. Administrativo;1350000;4/10/1991;7/8/1970
2939;Cortes;Rafael;Palmira;Diseño;Administrativo;4200000;4/1/1986;11/21/1962
2956;Sierra;Luisa;Medellín;Administración;Docente;2700000;2/3/1986;11/21/1964
2957;Ramirez;Eliana;Palmira;Administración;Docente;3200000;2/14/1989;5/17/1964
2965;Dominguez ;Camila;Bogotá;Derecho;Docente investigador;3900000;11/17/1991;5/4/1969
2978;Medina;Raquel;Medellín;Medicina;Docente;2940000;7/22/1988;6/22/1960
